emp_no,first_name,last_name,title,from_date
67833,Aleksander,Iivonen,Senior Staff,1996-11-01
67835,Behnaam,Luft,Senior Staff,1998-02-21
67837,Barun,Heyers,Staff,1999-06-27
67845,Xuejun,Back,Senior Staff,2002-02-04
67848,Shawna,Litzkow,Senior Engineer,1986-12-22
67853,King,Perl,Technique Leader,1988-10-20
67862,Sven,Brizzi,Senior Staff,1994-12-11
67879,Hongzue,Michaels,Technique Leader,1991-10-21
67885,Nishit,Suermann,Senior Engineer,1991-07-25
67896,Werner,Guardalben,Senior Engineer,1993-03-08
67929,Richard,Iisaka,Senior Engineer,1993-10-05
67936,Valery,Bardell,Senior Staff,1998-05-15
67937,Odinaldo,Bashian,Senior Engineer,1996-06-08
67948,Shay,Berztiss,Senior Staff,1992-06-29
67954,Aleksandar,Liedekerke,Senior Engineer,1992-10-11
67962,Jiann,Stille,Senior Engineer,1990-12-21
67967,Marin,Stille,Senior Engineer,1999-11-10
67968,Christoper,Narahara,Senior Staff,1994-07-21
67983,Gererd,Heusch,Engineer,1996-10-01
67989,Adib,Schwaller,Senior Staff,1993-12-23
67994,Hatim,Paludetto,Senior Engineer,1999-11-02
67999,Sorina,Herber,Senior Staff,1985-07-28
68001,Marlo,Panwar,Senior Engineer,1992-12-11
68003,Kellie,Ratzlaff,Technique Leader,1988-11-21
68005,Hilary,Montresor,Senior Engineer,1997-06-08
68010,Mohan,Tsunoo,Senior Engineer,1987-10-25
68028,Richara,Syang,Senior Staff,1992-09-29
68055,Narain,Jansen,Senior Engineer,1986-01-03
68063,Karlis,Gide,Senior Engineer,1999-04-05
68110,Ewing,Erni,Engineer,1993-10-05
68123,Shakhar,Rissland,Staff,1996-04-06
68124,Zhiguo,Gonthier,Senior Staff,1993-03-08
68138,Qunsheng,Poujol,Senior Engineer,1999-08-04
68142,Aran,Nishimukai,Senior Staff,1994-10-12
68147,Breannda,Zhang,Engineer,1998-01-31
68170,Etsuo,Kavanagh,Senior Engineer,1995-11-30
68173,Gererd,Litzkow,Senior Staff,1995-05-20
68179,Guangming,Nyanchama,Senior Engineer,1993-08-13
68199,Kwok,Litzkow,Senior Engineer,1992-03-23
68218,Miquel,Renear,Senior Engineer,1987-08-05
68233,Frederique,Penz,Senior Engineer,1999-07-28
68236,Harngdar,Farrow,Senior Engineer,1993-07-28
68245,Valeska,Ramamoorthy,Senior Staff,1986-12-14
68258,Kerryn,Acton,Senior Engineer,1995-04-27
68269,Marjo,Falster,Technique Leader,1986-10-31
68293,Faiza,Mateescu,Senior Engineer,1995-09-20
68313,Rosalie,Ferriere,Senior Engineer,1992-07-20
68321,Aris,Harbusch,Senior Engineer,1995-09-22
68350,Arve,Speckmann,Senior Engineer,1991-02-28
68367,Emdad,Vandervoorde,Senior Staff,1989-02-27
68381,Stabislas,Hasham,Senior Staff,1990-03-11
68407,Jahangir,Peternell,Senior Staff,1988-02-25
68432,Tsuneo,Staylopatis,Senior Staff,1992-11-19
68433,Maya,Wossner,Senior Staff,1991-08-24
68454,Weicheng,Kampfer,Senior Engineer,1988-05-16
68478,Rutger,Plotkin,Senior Staff,1995-08-21
68499,Arfst,Bael,Senior Engineer,1991-11-16
68500,Leah,Stellhorn,Senior Staff,1997-10-11
68508,Annemarie,Swist,Senior Engineer,1992-06-06
68528,Sailaja,Ghalwash,Senior Engineer,2000-12-19
68536,Zorica,Perly,Engineer,1999-04-24
68538,Kwangjo,Velasco,Senior Staff,2000-11-21
68542,Licheng,Pollacia,Senior Engineer,1997-02-22
68550,Alper,Perin,Senior Engineer,1994-03-02
68552,Abdelkader,Gronowski,Senior Staff,1997-03-13
68568,Iara,Raney,Senior Staff,1992-04-12
68570,Kamakshi,Alvarado,Senior Staff,2000-09-25
68578,Weidon,Baranowski,Senior Engineer,1987-04-28
68585,Vatsa,Bail,Senior Staff,1988-03-05
68596,Sergi,Penz,Senior Staff,1985-03-23
68599,Alair,Zucker,Staff,1999-11-05
68603,Fabrizio,Rusterholz,Senior Staff,1996-04-23
68604,Kannan,Dymetman,Senior Staff,1988-03-15
68607,Xuejia,Zallocco,Senior Staff,1999-01-09
68626,Pragnesh,Schrift,Senior Engineer,2001-08-31
68642,Arvind,Jumpertz,Senior Staff,1994-12-03
68673,Elvia,Bale,Senior Engineer,1998-03-30
68679,Takahiro,Dredge,Staff,1995-11-22
68690,Elgin,Juneja,Senior Engineer,1992-04-03
68692,Behnaam,Monarch,Senior Engineer,1988-07-02
68699,Harjit,Baby,Senior Staff,2000-07-03
68705,Arunas,Ferretti,Senior Engineer,2001-01-04
68709,Marke,Zaccaria,Senior Engineer,1995-06-30
68714,Alselm,Nishimukai,Technique Leader,1989-09-25
68717,Yishai,Chenoweth,Senior Engineer,1986-10-22
68744,Khedija,Spelt,Senior Engineer,1996-10-24
68747,Chikara,Binkley,Engineer,1999-05-24
68756,Jayesh,Syang,Senior Staff,1998-04-22
68761,Rasikan,Zuberek,Staff,1995-10-18
68769,Gill,Akaboshi,Senior Staff,1995-01-29
68770,Perla,Lunn,Senior Staff,1993-04-13
68773,Hugo,Isaac,Senior Engineer,1999-01-12
68780,Berni,Itschner,Technique Leader,1988-11-11
68788,Reuven,Kaiser,Senior Engineer,1987-01-20
68798,Theirry,Murtagh,Senior Engineer,2000-11-30
68801,Ymte,Ramsay,Senior Engineer,1993-04-09
68808,Morrie,Beerel,Senior Engineer,1996-12-11
68809,Oldrich,Menhardt,Senior Staff,1996-04-06
68839,Shuky,Famili,Senior Staff,1993-12-06
68840,Quingbo,Nourani,Senior Staff,1994-12-23
68843,Yucel,Kalafatis,Senior Staff,1997-08-27
68862,Christoper,Schonegge,Engineer,1997-12-21
68872,Dzung,Munro,Senior Staff,2000-06-12
68880,Elvis,Assaf,Senior Staff,1995-09-27
68890,Mantis,Baer,Senior Staff,1995-12-11
68895,Suvo,Senzako,Senior Staff,2001-10-01
68900,Pohua,Sevcikova,Senior Engineer,1989-02-26
68901,Aron,Gilg,Technique Leader,1985-03-06
68909,Jayson,Rajcani,Senior Engineer,1993-10-29
68910,Basim,Maccarone,Senior Staff,1996-12-30
68911,Francoise,Ratzlaff,Senior Engineer,1995-09-08
68913,Tayeb,Seuren,Senior Staff,2001-04-11
68914,Subhankar,Hebert,Senior Staff,1995-03-25
68917,Menkae,Peot,Senior Engineer,1993-02-28
68919,Licheng,Aamodt,Engineer,1995-05-30
68940,Froduald,Garrabrants,Senior Staff,1997-07-20
68947,Toshimo,Bergere,Senior Staff,1995-04-04
68951,Shichao,Leppanen,Senior Engineer,1997-05-30
68964,Fai,Francisci,Senior Engineer,1997-09-11
68966,Shuho,Carrera,Senior Staff,1998-05-14
68978,Rildo,Dalton,Senior Staff,1991-04-13
68998,Remko,Serra,Senior Engineer,1987-04-05
69007,Brewster,McAffer,Staff,1996-10-17
69014,Xuejun,Chenney,Senior Engineer,1994-10-30
69019,Valdiodio,Rothenberg,Staff,1999-05-03
69020,Udo,Masaki,Senior Engineer,1994-01-18
69022,Kendra,Benzmuller,Senior Staff,2001-07-17
69027,Make,Gihr,Senior Staff,1998-12-22
69032,Dhritiman,Mawatari,Technique Leader,1987-02-20
69050,Nidapan,Anily,Senior Staff,1996-04-19
69064,Alair,Babb,Senior Engineer,1991-04-23
69084,Kazuhisa,Thisen,Senior Staff,1990-07-06
69092,Sreenivas,Denna,Engineer,1997-05-05
69118,Irena,Lakshmanan,Senior Staff,1999-07-24
69122,Weiwu,Templeman,Senior Staff,1985-05-08
69131,Shuzo,Hebert,Senior Staff,2001-12-13
69136,Younwoo,Busillo,Senior Engineer,2000-07-29
69166,Bernd,Chiodo,Senior Staff,1996-07-30
69173,Georgy,Adachi,Senior Staff,2000-10-07
69177,Shan,Marchegay,Technique Leader,1985-04-15
69181,Toshiko,Schiper,Senior Staff,1985-06-15
69206,Bojan,Melichar,Senior Engineer,1996-06-15
69217,Atreyi,Brandsma,Senior Engineer,1993-11-06
69222,Elliott,Llado,Senior Engineer,1991-11-30
69226,Reinhold,Wursthorn,Senior Engineer,1985-03-18
69228,Urs,Shimshoni,Senior Engineer,1988-10-09
69230,Florian,Pews,Senior Engineer,1996-07-18
69246,Yonghoan,Maksimenko,Senior Engineer,2001-03-13
69263,Sreekrishna,Iisaku,Senior Engineer,1987-08-23
69271,Debatosh,Zyda,Senior Engineer,1994-11-20
69287,Frazer,Luders,Technique Leader,1994-01-28
69297,Fei,Range,Senior Engineer,1995-11-09
69316,Paraskevi,Radhakrishnan,Senior Engineer,1988-06-19
69325,Pranas,Dredge,Senior Staff,1996-03-02
69333,Jianhao,Zirintsis,Senior Engineer,2001-02-05
69355,Dmitry,Borovoy,Technique Leader,1986-05-26
69360,Lenore,Hanratty,Senior Engineer,1991-06-08
69366,Georg,Schrift,Technique Leader,1988-10-11
69387,Danny,Mitsuhashi,Senior Engineer,1989-10-13
69405,Lijia,Heping,Senior Staff,1992-02-05
69418,Jixiang,Steinauer,Senior Staff,1999-04-16
69421,Nahla,Clemencon,Senior Staff,1993-06-10
69425,Kristen,Orsini,Senior Engineer,1998-07-02
69428,Dzung,Shimshoni,Senior Staff,1988-03-10
69445,Gift,Puppo,Senior Staff,1993-09-08
69446,Pranay,Melter,Senior Engineer,2001-08-01
69455,Radhakrishnan,Nastansky,Senior Engineer,1994-03-02
69493,Odoardo,Greibach,Engineer,1999-02-25
69506,Marke,Cappelletti,Senior Engineer,1993-10-20
69507,Alassane,Weedon,Senior Staff,1993-04-05
69524,Leon,Vrecion,Engineer,1998-12-23
69544,Flemming,Falster,Senior Staff,1992-02-18
69555,Golgen,Sabnani,Senior Staff,2002-02-06
69562,Tua,Haumacher,Engineer,1999-05-06
69570,Katsuyuki,Reinhart,Senior Engineer,1999-10-30
69578,Shim,Sewelson,Senior Staff,1993-08-24
69582,Pragnesh,Hofstetter,Senior Staff,1997-10-08
69598,Elvis,Hofstetter,Engineer,1998-08-01
69601,Sachar,Lieblein,Senior Staff,1994-10-09
69602,Naftaly,Litzkow,Staff,1998-06-02
69607,Candido,Parhami,Staff,1995-08-05
69613,Gay,Tsukuda,Staff,1998-09-16
69621,Atilio,Takkinen,Senior Engineer,1994-11-25
69625,Remmert,Taneja,Staff,1998-10-05
69632,Limsoon,Nations,Senior Engineer,1993-08-06
69635,Djelloul,Garrabrants,Technique Leader,1986-08-01
69637,Tse,Basart,Senior Staff,1987-11-02
69639,Christoper,Picci,Senior Engineer,1995-06-03
69647,Deborah,Pileggi,Senior Staff,2002-07-02
69651,Divier,Decaestecker,Senior Staff,1994-08-30
69652,Josyula,Oehlmann,Senior Engineer,1994-11-12
69654,Paris,Hofman,Senior Engineer,2000-09-24
69665,Uzi,Fioravanti,Senior Staff,1992-09-20
69670,Phillip,Limongiello,Senior Staff,1991-09-05
69676,Shin,Henseler,Senior Engineer,1997-04-03
69682,Gor,Siksek,Engineer,1998-07-06
69687,Oksana,Minakawa,Senior Engineer,1991-04-19
69688,Kazuyasu,Skogmar,Senior Staff,1995-09-30
69697,Zengping,Nourani,Senior Engineer,2001-04-09
69714,Anneke,Kavvadias,Technique Leader,1992-06-14
69717,Boalin,Gecsei,Staff,1996-12-10
69732,Vitaly,Maraist,Senior Staff,2001-07-20
69737,Sarita,Conta,Senior Staff,1994-06-12
69758,Arup,Yurov,Senior Engineer,1996-10-14
69767,Nakhoon,Glowinski,Engineer,1996-02-21
69771,Chaitali,Ibel,Senior Staff,1992-02-15
69773,Elzbieta,Kisuki,Technique Leader,1998-08-23
69790,Werner,Leslie,Senior Staff,1998-05-15
69807,Olivera,Emmerich,Senior Staff,1993-10-26
69821,Francoise,Birdsall,Senior Engineer,1993-12-10
69829,Akhilish,Koprowski,Senior Engineer,1996-05-26
69835,Deborah,Birdsall,Senior Engineer,1997-05-03
69845,Kinh,Tanemo,Senior Engineer,1996-04-15
69874,Doohun,Menyhert,Technique Leader,1991-01-22
69888,Billur,Speel,Technique Leader,1988-06-06
69897,Stamatina,Kamber,Senior Staff,1990-11-11
69928,Abdelkader,Nourani,Senior Staff,2000-04-09
69932,Surveyors,Stenning,Engineer,1998-08-18
69940,Gonzalo,Mattern,Staff,1998-02-04
69946,Theirry,Varker,Engineer,1995-10-14
69960,Lein,Sooriamurthi,Senior Engineer,1998-07-22
69982,Sanjoy,Lindqvist,Senior Staff,1993-04-26
69987,Shem,Collette,Senior Staff,1994-10-08
69993,Anwar,Silva,Staff,2000-01-25
70004,Shih,VanScheik,Senior Staff,1985-04-15
70023,Bodh,Plotkin,Senior Engineer,1990-03-14
70027,Manton,Schieder,Engineer,1995-04-05
70032,Guttorm,Oppitz,Senior Staff,1993-08-24
70040,Along,Montemayor,Senior Engineer,1992-12-07
70049,Dipankar,Domenig,Senior Engineer,1994-05-31
70059,Valeri,Tiemann,Senior Staff,1991-09-26
70068,Noritoshi,Beidas,Senior Staff,2000-01-19
70077,Vesna,Panienski,Technique Leader,1987-02-06
70087,Ronghao,Lemarechal,Senior Staff,1987-07-18
70090,Oldrich,Anandan,Senior Staff,1993-03-06
70091,Vasilii,Haldar,Senior Staff,1997-11-01
70105,Van,Hardjono,Senior Engineer,1994-04-26
70117,Arie,Bail,Engineer,1998-05-31
70132,Gal,Manders,Staff,1997-07-18
70146,Tiina,Atrawala,Senior Engineer,1985-07-19
70162,Danai,Wrigley,Senior Engineer,1993-09-29
70164,Ult,Bergere,Senior Engineer,2002-05-20
70171,Sadun,Himler,Senior Engineer,1997-02-06
70172,Toshimo,Beerel,Senior Engineer,1994-02-16
70180,Renee,Cichocki,Senior Staff,1995-12-29
70190,Zeljko,Luiz,Technique Leader,1987-10-22
70197,Nishit,Fritzsche,Senior Engineer,1996-06-10
70217,Aksel,Iivonen,Senior Staff,1993-12-07
70218,Stabislas,Luga,Senior Staff,1994-05-28
70219,Ramzi,Suessmith,Senior Engineer,1992-07-13
70239,Cedric,McFarlin,Senior Engineer,1994-12-10
70250,Erez,Arlazarov,Staff,1997-08-24
70270,Zsolt,Cusworth,Senior Engineer,1997-12-02
70287,Nimmagadda,McConalogue,Senior Staff,1992-04-29
70296,Nalini,Vadhan,Senior Engineer,1994-08-12
70310,Neven,Ranai,Staff,1996-08-03
70311,Abdelaziz,Kugler,Senior Staff,1996-02-16
70350,Kwun,Swen,Senior Staff,1993-12-30
70354,Minghong,Gammage,Engineer,1997-10-14
70374,Girolamo,Macedo,Senior Engineer,1993-12-09
70380,Alassane,Denos,Senior Staff,2001-12-18
70386,Guiseppe,Mamelak,Senior Engineer,1990-11-27
70400,Srinidhi,Lorcy,Senior Staff,1994-01-29
70421,Amstein,Birke,Senior Engineer,1992-12-22
70422,Zine,Krichel,Senior Engineer,1994-03-19
70425,Mechthild,Businaro,Senior Staff,1994-01-09
70426,Gilbert,Hanratty,Senior Engineer,1994-01-11
70465,Kien,Ligten,Senior Engineer,1999-06-09
70478,Basil,Peac,Senior Engineer,1985-06-13
70485,Sachio,Mondadori,Senior Engineer,1993-08-21
70502,Jiann,Weedon,Senior Staff,1986-09-15
70514,Christoper,Highland,Senior Engineer,1993-01-21
70516,Danny,Mamelak,Senior Staff,1996-11-20
70519,Mohammad,Aingworth,Senior Engineer,1998-08-16
70528,Khun,Gimarc,Staff,1996-11-01
70530,Qunsheng,Stille,Senior Engineer,2002-05-02
70535,Dante,Speel,Staff,1999-02-07
70540,Vasilis,Ullian,Senior Staff,1997-01-29
70550,Maren,Ressouche,Senior Staff,1991-02-02
70563,Naraig,Klerer,Staff,1998-10-19
70564,Supot,Chiola,Senior Engineer,1992-03-04
70565,Fumiya,Bergere,Senior Engineer,1995-04-14
70571,Randy,Sooriamurthi,Senior Staff,1996-09-16
70573,Janalee,Chachaty,Senior Staff,1996-05-04
70579,Seshu,Polajnar,Engineer,1998-06-07
70584,Arun,Flasterstein,Senior Engineer,1995-03-01
70602,Hongzhu,Maquelin,Senior Engineer,2002-07-18
70614,Nevio,Furedi,Senior Engineer,1992-04-12
70629,Shay,DiGiano,Senior Staff,1995-12-28
70659,Kauko,Domenig,Senior Staff,1986-05-08
70661,Leni,Bernardinello,Senior Engineer,1997-08-02
70666,Ronghao,Veeraraghavan,Senior Staff,1997-06-10
70675,Edwin,Avouris,Senior Staff,1998-06-03
70679,Aluzio,Hagimont,Senior Staff,1992-04-18
70720,Hidefumi,Denny,Senior Staff,1994-07-14
70722,Maren,Sudbeck,Senior Staff,1995-09-03
70735,Shaowei,Spataro,Engineer,1997-10-08
70738,Shaleah,Kemmerer,Staff,1994-03-09
70739,Przemyslawa,Kakkar,Staff,1998-08-29
70743,Matk,Genin,Engineer,2001-06-20
70751,Danil,Heusch,Senior Engineer,1998-08-08
70752,Vugranam,Chiola,Senior Engineer,1999-10-13
70763,Jahangir,Lorch,Senior Engineer,1985-07-08
70767,Hinrich,Gewali,Engineer,1999-12-02
70785,Jiakeng,Swan,Senior Engineer,1994-05-16
70787,Reinhard,Masaki,Senior Staff,1993-10-17
70791,Aamod,Avouris,Senior Engineer,1994-09-24
70797,Alejandro,Tiemann,Senior Engineer,1994-08-28
70809,Premal,Welham,Senior Engineer,1992-08-16
70810,Vishwani,Brodal,Senior Staff,2002-01-05
70824,Kauko,Mawatari,Senior Staff,1998-10-22
70830,Jiakeng,Maksimenko,Senior Staff,1994-08-19
70877,Prasadram,Weiland,Engineer,1994-03-06
70887,Tsutomu,Bratten,Technique Leader,1987-02-09
70898,Ranan,Radhakrishnan,Senior Engineer,1992-12-31
70914,Dinah,Antonisse,Senior Staff,1988-07-10
70919,Anwar,Casley,Senior Engineer,1996-10-05
70956,Almudena,Genther,Senior Engineer,1995-10-05
70964,Berhard,Seghrouchni,Technique Leader,1988-06-23
70970,Yuuichi,Vesna,Senior Engineer,1991-03-31
70982,Rasikan,Kamber,Engineer,1999-02-09
71041,Frazer,Borovoy,Senior Engineer,1997-11-24
71057,Christfried,Orsini,Senior Staff,1994-02-12
71060,Suebskul,Tokunaga,Senior Staff,1995-12-02
71076,Huei,Rosca,Senior Staff,1994-08-22
71099,Adly,Azevdeo,Senior Engineer,1991-07-03
71100,Taisook,Karnin,Engineer,1995-01-07
71102,Indrajit,Juneja,Staff,1997-11-23
71113,Anwar,Atrawala,Senior Staff,1994-06-06
71114,Jagoda,Kakkar,Senior Engineer,1993-08-01
71118,Chirstian,Tasistro,Senior Staff,1985-08-07
71120,Kerryn,Marchegay,Staff,1998-04-26
71121,Aris,Atrawala,Staff,1997-11-19
71127,Annemarie,Belinskaya,Staff,1993-10-16
71128,Selwyn,Dolinsky,Senior Engineer,1989-08-23
71130,Khalid,Jervis,Senior Engineer,1991-04-01
71167,Sham,Gimbel,Senior Staff,1990-11-07
71194,Fox,Lampe,Senior Engineer,1994-05-21
71214,Kiyomitsu,Toyoshima,Senior Engineer,1992-01-19
71220,Nadjib,Peek,Senior Engineer,1997-07-11
71246,Toshimitsu,Paludetto,Senior Staff,1999-01-11
71255,Mrinalini,Halloran,Senior Engineer,1992-03-30
71262,Shigenori,Vecchio,Staff,1997-06-11
71263,Suvo,Farrar,Senior Staff,1994-03-13
71268,Remko,Dalphin,Senior Staff,1991-03-01
71270,Saeko,Crooks,Senior Staff,1987-05-28
71300,Deborah,Beilner,Senior Staff,1995-09-18
71302,Zhenbing,Heiserman,Senior Engineer,1998-01-20
71307,Tadahiro,Bade,Senior Staff,1993-04-24
71320,Xuejia,Caine,Senior Staff,1991-05-25
71323,Shunichi,Brizzi,Engineer,1995-07-20
71341,Seongbin,Tetzlaff,Engineer,1996-04-29
71351,Otmar,Guerreiro,Senior Staff,1993-09-23
71362,Cathie,Mellouli,Senior Staff,1996-12-19
71365,Remzi,Bratsberg,Senior Engineer,2001-06-09
71375,Masoud,Khamsi,Senior Staff,1993-12-23
71383,Vidya,Ohori,Senior Staff,1994-05-30
71391,Youjian,Morris,Senior Staff,2000-11-12
71398,Sanjeeva,Krohn,Senior Staff,1985-08-30
71399,Kasturi,Rodier,Senior Engineer,1993-06-14
71405,Shuzo,Miake,Senior Engineer,1990-05-05
71416,Jayson,Demir,Senior Engineer,1993-02-02
71420,Oksana,Schnelling,Engineer,1996-02-20
71424,Vishu,Kroha,Senior Engineer,1999-08-07
71451,Munenori,Chelton,Senior Staff,1994-10-18
71458,Kazuhiro,Welham,Senior Engineer,2002-03-23
71463,Ferdinand,Lagarias,Staff,1996-10-29
71471,Bernice,Peak,Engineer,1998-02-14
71472,Bingning,Irland,Technique Leader,1986-04-26
71478,Margo,Schahn,Senior Staff,2001-10-15
71490,Yannis,Vieri,Senior Staff,2001-04-17
71501,Nagui,Yurek,Senior Engineer,1987-06-12
71503,Chinhyun,Plumb,Senior Staff,1993-12-07
71509,Ioana,Feinberg,Senior Engineer,1994-01-28
71522,Randi,Flasterstein,Senior Engineer,1995-07-28
71528,Marjo,Deverell,Engineer,1997-10-07
71535,Cristinel,Falco,Engineer,1996-03-13
71541,Kwangsub,Chartres,Senior Staff,1991-12-31
71545,Denny,Nittel,Senior Staff,2002-04-06
71586,Jianwen,Cannard,Senior Staff,1985-10-02
71588,Junichi,Colorni,Senior Staff,1998-08-24
71590,Irene,Beerel,Senior Engineer,1988-08-17
71592,Kitty,Rusterholz,Senior Staff,1994-04-19
71598,Jianhua,Osgood,Senior Staff,1996-10-05
71603,Susanta,Hanratty,Senior Staff,1993-10-09
71609,Berthier,Manderick,Senior Staff,1993-04-10
71627,Aria,Ranta,Senior Staff,1993-04-24
71644,Bogdan,Azuma,Senior Staff,1994-05-03
71674,Udo,Huxford,Senior Engineer,1992-12-23
71678,Kiyokazu,Schapire,Senior Engineer,1994-02-08
71683,Sastry,Hedayat,Engineer,1995-02-21
71690,Annemarie,Steinauer,Senior Engineer,1996-10-25
71699,Ingemar,Tramer,Senior Staff,2001-03-05
71706,Van,Murtha,Technique Leader,1986-02-04
71715,Eberhardt,Niizuma,Senior Staff,1990-08-19
71722,Marco,Lally,Senior Engineer,1997-08-16
71725,Kannan,Yurek,Engineer,1995-09-27
71729,Jongsuk,Rosch,Technique Leader,1986-04-04
71732,Arra,Highland,Engineer,1997-08-14
71750,Berhard,Eppinger,Senior Engineer,1997-08-04
71754,Leen,Hebden,Senior Engineer,2001-03-04
71758,Munehiko,Frijda,Senior Engineer,1988-08-08
71773,Leen,Ebeling,Senior Staff,1994-12-29
71779,Hironoby,Cooman,Engineer,1996-08-30
71780,DeForest,Honglei,Senior Engineer,1995-12-28
71788,Reinhard,Verspoor,Senior Staff,2001-08-22
71791,Bedrich,Lalonde,Senior Engineer,2002-03-04
71796,Magdalena,Rijckaert,Staff,1999-09-13
71810,Hideo,Ertl,Senior Staff,1996-12-30
71812,Younwoo,Cooman,Senior Staff,1986-04-10
71823,Kasidit,Linnainmaa,Technique Leader,1987-03-04
71826,Chandrasekaran,Brickell,Senior Staff,1998-11-09
71837,Munehiro,Babb,Senior Engineer,1994-09-06
71839,Owen,Hasenauer,Engineer,1998-02-17
