emp_no,first_name,last_name,title,from_date,to_date
70354,Minghong,Gammage,Engineer,1997-10-14,9999-01-01
70400,Srinidhi,Lorcy,Senior Staff,1994-01-29,1994-01-29
70421,Amstein,Birke,Senior Engineer,1992-12-22,1992-12-22
70425,Mechthild,Businaro,Senior Staff,1994-01-09,1994-01-09
70478,Basil,Peac,Senior Engineer,1985-06-13,9999-01-01
70516,Danny,Mamelak,Senior Staff,1996-11-20,1996-11-20
70563,Naraig,Klerer,Staff,1998-10-19,9999-01-01
70571,Randy,Sooriamurthi,Senior Staff,1996-09-16,1996-09-16
70573,Janalee,Chachaty,Senior Staff,1996-05-04,9999-01-01
70679,Aluzio,Hagimont,Senior Staff,1992-04-18,9999-01-01
70763,Jahangir,Lorch,Senior Engineer,1985-07-08,9999-01-01
70791,Aamod,Avouris,Senior Engineer,1994-09-24,1994-09-24
70824,Kauko,Mawatari,Senior Staff,1998-10-22,1998-10-22
70898,Ranan,Radhakrishnan,Senior Engineer,1992-12-31,1992-12-31
70919,Anwar,Casley,Senior Engineer,1996-10-05,1991-10-06
70956,Almudena,Genther,Senior Engineer,1995-10-05,1990-10-05
70982,Rasikan,Kamber,Engineer,1999-02-09,9999-01-01
71194,Fox,Lampe,Senior Engineer,1994-05-21,1994-05-21
71246,Toshimitsu,Paludetto,Senior Staff,1999-01-11,1999-01-11
71263,Suvo,Farrar,Senior Staff,1994-03-13,1994-03-13
71268,Remko,Dalphin,Senior Staff,1991-03-01,1991-03-01
71300,Deborah,Beilner,Senior Staff,1995-09-18,1995-09-18
71545,Denny,Nittel,Senior Staff,2002-04-06,2002-04-06
71586,Jianwen,Cannard,Senior Staff,1985-10-02,9999-01-01
71590,Irene,Beerel,Senior Engineer,1988-08-17,9999-01-01
71627,Aria,Ranta,Senior Staff,1993-04-24,1993-04-24
71674,Udo,Huxford,Senior Engineer,1992-12-23,1992-12-23
71678,Kiyokazu,Schapire,Senior Engineer,1994-02-08,1994-02-08
71690,Annemarie,Steinauer,Senior Engineer,1996-10-25,1996-10-25
71715,Eberhardt,Niizuma,Senior Staff,1990-08-19,1990-08-19
71732,Arra,Highland,Engineer,1997-08-14,9999-01-01
71758,Munehiko,Frijda,Senior Engineer,1988-08-08,9999-01-01
71791,Bedrich,Lalonde,Senior Engineer,2002-03-04,2002-03-04
71847,Seshu,Kadhim,Senior Staff,1999-12-25,1999-12-25
71913,Tooru,Feinberg,Technique Leader,1988-11-19,9999-01-01
71915,Goh,Jakobus,Staff,1999-04-30,9999-01-01
71962,Mohamadou,Thorelli,Senior Engineer,1993-11-20,1993-11-20
71985,Kristina,Emmart,Senior Engineer,1988-03-11,9999-01-01
71998,Pranas,Lovengreen,Engineer,1999-03-26,1999-03-26
72116,Lalit,Quadeer,Engineer,1996-05-08,9999-01-01
72137,Dulce,Bodoff,Senior Engineer,1987-07-01,9999-01-01
72216,Serif,Rebaine,Staff,1997-10-09,9999-01-01
72248,Kamran,Rindone,Senior Engineer,1996-11-28,1996-11-28
72383,Gianluca,Sidou,Technique Leader,1987-02-24,9999-01-01
72387,Taiji,Zeilberger,Engineer,1997-02-22,9999-01-01
72400,Charmane,Merel,Senior Staff,2002-04-19,2002-04-19
72522,Insup,Katzenelson,Senior Engineer,1991-02-25,1991-02-25
72617,Naraig,Worfolk,Senior Staff,1987-11-16,9999-01-01
72627,Apostol,Conry,Engineer,1999-01-08,9999-01-01
72740,Heather,Greenaway,Senior Staff,1991-04-07,1991-04-07
72752,Kensyu,Gente,Senior Engineer,1991-05-15,9999-01-01
72768,Sajjad,Kolvik,Engineer,1998-06-04,9999-01-01
72826,Pranas,Kuhnemann,Senior Engineer,1995-08-10,1995-08-10
72861,Chirstian,Pramanik,Senior Engineer,1992-12-25,1992-12-25
72863,Mohd,Kavvadias,Senior Staff,1990-10-17,1990-10-17
72866,Sverrir,Zumaque,Senior Staff,1995-11-19,9999-01-01
72891,Florina,Heusch,Senior Engineer,1994-01-11,9999-01-01
72898,Thanasis,Gurbaxani,Senior Staff,1994-11-12,9999-01-01
72907,Alejandra,Weisert,Staff,1999-11-20,9999-01-01
72923,Zhenbing,Decaestecker,Senior Engineer,1997-04-30,1991-05-01
72967,Menkae,Brobst,Staff,1997-01-21,9999-01-01
73011,Zdislav,Kaiserswerth,Senior Engineer,1997-09-12,1997-09-12
73072,Vitali,Zwicker,Senior Engineer,1999-05-18,1994-05-18
73110,Gift,Osgood,Technique Leader,1987-07-12,9999-01-01
73143,Sreekrishna,Cincotta,Engineer,1999-04-22,1999-04-22
73283,Shen,Leaver,Engineer,1996-02-11,9999-01-01
73352,Boutros,Fortenbacher,Senior Engineer,1992-05-01,1992-05-01
73395,Jouko,Tsukune,Senior Engineer,1992-12-14,1992-12-14
73400,Billur,Heemskerk,Senior Engineer,1998-01-21,1998-01-21
73409,Denis,Biros,Senior Engineer,1992-02-25,1992-02-25
73497,Sibyl,Huhdanpaa,Senior Staff,1996-05-21,1996-05-21
73523,Fei,Parascandalo,Senior Staff,1992-02-04,9999-01-01
73532,Becky,dAstous,Staff,1999-11-27,9999-01-01
73559,Masamitsu,Murrill,Senior Staff,2002-02-27,2002-02-27
73578,Berna,Rohrbach,Engineer,1996-01-24,9999-01-01
73595,Nobuyoshi,Vandervoorde,Senior Staff,1985-04-04,9999-01-01
73615,Manton,Vecchi,Senior Engineer,1996-08-05,1996-08-05
73673,Chenxi,Yurov,Senior Engineer,1989-02-10,9999-01-01
73726,Elvia,Mawatari,Staff,1999-03-16,9999-01-01
73733,Takanari,Kusakari,Senior Staff,1996-03-02,1996-03-02
73744,Basil,Baalen,Staff,1997-02-09,9999-01-01
73765,Richara,Gimbel,Engineer,1997-02-10,9999-01-01
73782,Janche,Prochazka,Technique Leader,1987-09-29,9999-01-01
73937,Kagan,Moehrke,Senior Staff,1988-11-21,9999-01-01
73984,Ioana,Peltason,Senior Engineer,1994-01-23,1994-01-23
74021,Qiwen,Baba,Senior Engineer,1997-11-14,1997-11-14
74046,Jungsoon,Birta,Senior Engineer,1999-02-02,1999-02-02
74101,Debaprosad,Porenta,Technique Leader,1999-10-30,9999-01-01
74116,Adit,Couchot,Senior Engineer,2000-07-15,2000-07-15
74164,Yakichi,Ambroszkiewicz,Senior Engineer,1991-04-14,9999-01-01
74246,Tomofumi,Erdi,Senior Staff,2001-07-22,2001-07-22
74327,Aloke,Rahier,Senior Staff,2000-05-26,2000-05-26
74353,Shan,Rajala,Engineer,1998-12-30,9999-01-01
74358,Mohammad,Lanteri,Senior Staff,1987-03-06,9999-01-01
74406,Jaber,Tzvieli,Senior Engineer,1993-11-05,1993-11-05
74413,Juichirou,Nitta,Engineer,1999-11-28,9999-01-01
74425,Shakhar,Pero,Technique Leader,1988-02-17,9999-01-01
74450,Ortrun,Radivojevic,Engineer,1995-01-02,9999-01-01
74458,Gennady,Guenter,Senior Engineer,1995-03-01,1995-03-01
74576,Sanjiv,Mundy,Senior Engineer,1991-03-27,1991-03-27
74585,Youssef,Maliniak,Engineer,1998-08-18,9999-01-01
74609,Divier,Conta,Engineer,1999-07-01,9999-01-01
74683,Takanari,Clouatre,Senior Staff,1996-07-20,1996-07-20
74684,Oguz,Bernatsky,Senior Staff,2000-06-09,2000-06-09
74699,Moon,Rotem,Senior Engineer,2002-02-11,1994-02-11
74706,Fen,Tibblin,Senior Engineer,1999-09-08,1999-09-08
74723,Sibyl,Chiodo,Senior Engineer,1994-09-28,1994-09-28
74802,Mingzeng,Demizu,Technique Leader,1988-03-06,9999-01-01
74811,Khatoun,Pardalos,Senior Engineer,1993-11-17,1993-11-17
74868,Shuji,Parfitt,Senior Staff,1995-08-28,1995-08-28
74878,Mark,Leaver,Senior Engineer,1994-09-15,1994-09-15
74888,Falguni,Jansen,Senior Engineer,1994-11-12,1994-11-12
74914,Xiaopeng,Melter,Senior Engineer,1987-06-16,9999-01-01
74938,Mohit,Felcyn,Senior Engineer,2000-09-11,2000-09-11
74950,Weidon,Trelles,Technique Leader,1999-01-20,9999-01-01
74958,Mantis,Rissland,Senior Staff,1992-12-04,1992-12-04
75066,Aiman,Mungall,Senior Staff,1989-09-02,9999-01-01
75134,Rimli,Cullers,Senior Staff,1994-05-25,1994-05-25
75142,Uwe,Speckmann,Staff,1999-05-19,9999-01-01
75151,Weicheng,Gecsei,Senior Staff,1997-11-19,1997-11-19
75166,Aamod,Snyers,Engineer,1996-11-14,9999-01-01
75218,Jaroslava,Fujisawa,Senior Engineer,1993-07-13,1993-07-13
75228,Sadok,Bierman,Senior Engineer,1986-04-08,9999-01-01
75292,Lucien,Cairo,Senior Staff,1996-01-10,1996-01-10
75309,Shih,Weisert,Senior Staff,1986-12-26,9999-01-01
75435,Maria,Veccia,Technique Leader,1995-11-04,9999-01-01
75477,Dekang,Tsukuda,Senior Engineer,1991-02-28,1991-02-28
75505,Jacopo,Isaac,Senior Staff,1991-06-18,1991-06-18
75511,Jianhua,Luby,Engineer,1996-03-14,9999-01-01
75589,Sudharsan,Ghazalie,Senior Staff,2002-04-27,2002-04-27
75646,Hideo,Cools,Senior Engineer,1994-03-06,1994-03-06
75668,Sarita,Bratsberg,Senior Staff,1998-04-07,1998-04-07
75695,Patricia,Speek,Senior Engineer,1994-04-20,1994-04-20
75699,Toshimi,Uhrig,Senior Staff,1995-03-07,1995-03-07
75704,Sanjoy,Zweizig,Senior Engineer,1996-09-15,1996-09-15
75712,Aleksander,Sooriamurthi,Senior Engineer,1985-12-09,9999-01-01
75725,Stella,Rijsenbrij,Senior Staff,1998-01-07,1998-01-07
75741,Candido,Birsak,Senior Staff,1994-07-09,1994-07-09
75805,Berry,Benveniste,Senior Staff,1994-08-18,1994-08-18
75885,Tua,Strehl,Senior Staff,1994-11-16,1994-11-16
75971,Honesty,Kisuki,Senior Engineer,1993-01-03,1993-01-03
75990,Irene,Montemayor,Senior Staff,2000-05-04,2000-05-04
76085,Christfried,Bratsberg,Technique Leader,1993-01-29,9999-01-01
76092,Manohar,Sevcikova,Senior Staff,1993-07-21,1993-07-21
76104,TRUE,Garrabrants,Staff,1994-09-12,9999-01-01
76121,Ioana,Vakili,Senior Engineer,1993-11-10,1993-11-10
76143,Perla,Cappelletti,Senior Staff,1994-08-08,1994-08-08
76145,Mitsuyuki,Byoun,Technique Leader,1986-10-19,9999-01-01
76225,Dinkar,Zumaque,Senior Staff,2001-04-05,2001-04-05
76234,Takahito,Lovengreen,Senior Engineer,1992-04-04,1992-04-04
76250,Fumiyo,Linnainmaa,Engineer,2000-03-06,2000-03-06
76277,Yuqun,Schieder,Senior Staff,1992-06-30,1992-06-30
76325,Rosalie,Maierhofer,Staff,1999-03-21,9999-01-01
76358,Jordanka,Chinal,Senior Engineer,1994-06-03,1994-06-03
76398,Younwoo,Heijenga,Senior Staff,2000-01-31,9999-01-01
76444,Geoff,Validov,Senior Engineer,1987-10-12,9999-01-01
76455,Jolita,Redmiles,Senior Staff,1992-01-29,1992-01-29
76465,Jessie,Smailagic,Senior Engineer,1991-10-04,9999-01-01
76543,Reinhold,Miculan,Senior Staff,1993-11-14,1993-11-14
76586,Karlis,Schurmann,Senior Engineer,1995-07-07,1995-07-07
76709,Berto,Georg,Senior Engineer,1996-07-11,1996-07-11
76754,Sanjay,Roison,Senior Engineer,1994-11-22,1994-11-22
76766,Sariel,Maierhofer,Senior Staff,1987-08-27,9999-01-01
76772,Gao,Garigliano,Senior Engineer,1991-03-07,9999-01-01
76813,Tua,Pietrzykowski,Senior Engineer,2000-02-26,2000-02-26
76822,Rafail,Gniady,Senior Engineer,1993-07-03,1993-07-03
76825,Sasan,Zaumen,Senior Engineer,1991-03-25,1991-03-25
76897,Achilleas,Bamford,Engineer,1999-07-27,9999-01-01
76905,Honesty,Rajcani,Staff,1994-02-06,9999-01-01
76961,Luisa,Nishimukai,Senior Engineer,1992-05-25,1992-05-25
76979,Claude,Fiutem,Senior Staff,1997-12-02,1997-12-02
77039,Susanta,Walston,Senior Engineer,1994-02-25,1994-02-25
77089,Renee,Wrigley,Senior Engineer,1997-08-25,1997-08-25
77147,Elrique,Baez,Engineer,1999-12-13,9999-01-01
77159,Naftaly,Awdeh,Senior Staff,2000-11-11,2000-11-11
77179,Gonzalo,Garigliano,Staff,1999-04-20,9999-01-01
77186,Irene,Crooks,Senior Staff,1993-10-27,1993-10-27
77193,Keiichiro,Benzmuller,Engineer,2001-11-22,2001-11-22
77195,Owen,Birrer,Senior Staff,1992-10-13,1992-10-13
77208,Bartek,Malabarba,Technique Leader,1999-11-23,9999-01-01
77232,Kinh,Krogh,Senior Staff,1994-11-13,1994-11-13
77241,Uri,Sommen,Senior Engineer,1997-07-24,1997-07-24
77295,Weijing,Taubman,Senior Staff,1993-06-17,1993-06-17
77297,Wanqing,Zumaque,Staff,1999-04-14,9999-01-01
77365,Elvia,Haddadi,Senior Staff,1994-06-19,1994-06-19
77545,Gopalakrishnan,Paciorek,Senior Engineer,1994-11-09,1994-11-09
77551,Lansing,Ossenbruggen,Senior Staff,1988-05-28,9999-01-01
77571,Odoardo,Coorg,Senior Staff,1996-12-07,1996-12-07
77650,Idoia,Bennis,Senior Engineer,1993-10-04,1993-10-04
77659,Owen,Sridhar,Senior Staff,1992-12-31,1992-12-31
77722,Bodo,Denti,Senior Staff,1992-03-11,1992-03-11
77741,Claude,Felcyn,Senior Staff,1991-10-09,1991-10-09
77743,Fen,Pollacia,Senior Staff,1996-03-05,1996-03-05
77770,Gen,Przulj,Senior Engineer,2001-01-03,2001-01-03
77852,Niranjan,Parascandalo,Senior Staff,1994-09-29,1994-09-29
77884,Danel,Pollacia,Senior Engineer,1991-01-23,9999-01-01
77893,Kien,Wegerle,Senior Engineer,1991-05-17,1991-05-17
77898,Yuchang,Christianini,Senior Engineer,1995-10-29,1995-10-29
78014,Gay,Ressouche,Senior Engineer,1992-03-06,1992-03-06
78038,Dmitry,Sooriamurthi,Senior Staff,1996-04-11,1996-04-11
78043,Constantijn,Ozeri,Senior Engineer,1991-10-20,1991-10-20
78082,Dung,Fontan,Senior Engineer,1986-01-21,9999-01-01
78195,Suvo,Hofting,Senior Engineer,2001-08-15,2001-08-15
78212,Zito,Ligten,Senior Engineer,1985-05-24,9999-01-01
78229,Tonia,Kalafatis,Senior Engineer,1994-03-16,1994-03-16
78273,Mona,Verhoeff,Senior Staff,1993-08-07,1993-08-07
78328,Berto,Gruenwald,Senior Engineer,1996-06-04,1996-06-04
78331,Guozhong,Erol,Senior Staff,2001-04-05,2001-04-05
78385,Syozo,Hasenauer,Senior Engineer,1994-07-02,1994-07-02
78403,Heping,Muntz,Senior Engineer,1992-12-24,1992-12-24
78429,Chinhyun,Andreotta,Technique Leader,1988-03-31,9999-01-01
78438,Susanne,Vuskovic,Senior Staff,1996-08-22,1996-08-22
78445,Lein,Baar,Senior Staff,1987-07-05,9999-01-01
78447,Chiranjit,Bahk,Staff,1997-02-07,9999-01-01
78475,Lakshmi,Renear,Technique Leader,1987-01-07,9999-01-01
78561,Perry,Birke,Senior Engineer,1994-05-27,1994-05-27
78573,Berry,Rosiles,Senior Staff,1996-11-13,1996-11-13
78649,Gino,Lorys,Senior Staff,1993-06-01,1993-06-01
78755,Emran,Christianini,Staff,1995-11-25,9999-01-01
78777,Goetz,Henders,Senior Engineer,1995-04-28,1995-04-28
78784,Udo,Speek,Senior Engineer,1995-05-28,1995-05-28
78814,Kasidit,Pollock,Senior Engineer,1993-04-13,1993-04-13
78819,Vojin,Compeau,Senior Staff,1993-03-12,1993-03-12
78866,Olivera,Rusmann,Senior Staff,1994-10-21,1994-10-21
78938,Kerhong,Krybus,Senior Staff,1999-06-01,1999-06-01
78940,Thodoros,Steenbeek,Senior Engineer,1997-05-31,1991-06-01
78990,Toshiki,Engelmann,Senior Engineer,1994-07-04,9999-01-01
79010,Marsal,Pusterhofer,Engineer,1999-07-21,1999-07-21
79031,Morris,Arlazarov,Senior Engineer,1988-11-12,9999-01-01
79037,Ewing,Encarnacion,Senior Engineer,1996-11-16,1996-11-16
79064,Kenroku,Coors,Engineer,1998-01-09,9999-01-01
79100,Kiyotoshi,Schlegelmilch,Senior Staff,1993-10-28,1993-10-28
79110,Aiichiro,Vecchi,Engineer,1998-07-28,1998-07-28
79117,Selwyn,Coors,Senior Engineer,1985-06-14,9999-01-01
79119,Navid,Maccarone,Senior Engineer,1995-07-24,1995-07-24
79131,Tayeb,Speer,Engineer,1996-04-29,9999-01-01
79140,Huiqun,Gyorkos,Senior Engineer,1994-03-05,1994-03-05
79158,Georgi,Merro,Senior Staff,1996-04-08,9999-01-01
79177,Mooi,Herbst,Technique Leader,1988-12-15,9999-01-01
79251,Gennady,Taubenfeld,Senior Staff,1993-05-27,1993-05-27
79348,Mari,Gire,Technique Leader,1985-04-07,9999-01-01
79401,Zvonko,Bage,Senior Staff,2001-07-07,2001-07-07
79449,Tonny,Stavenow,Engineer,1995-06-29,1995-06-29
79473,Denny,Ellozy,Technique Leader,1985-10-24,9999-01-01
79567,Karoline,Willoner,Senior Engineer,2000-04-22,1993-04-22
79644,Radoslaw,Lindenbaum,Technique Leader,1985-11-03,9999-01-01
79688,Gift,Billingsley,Senior Engineer,1991-12-23,1991-12-23
79748,George,Beutelspacher,Senior Engineer,1992-04-10,1992-04-10
79766,Fox,Swiler,Engineer,1994-12-01,9999-01-01
79772,Xiaoqiu,Gulik,Senior Staff,1987-11-13,9999-01-01
79794,Yaghout,Rissland,Senior Staff,1987-08-31,9999-01-01
79811,Tze,Krohm,Senior Staff,1995-02-27,1995-02-27
79833,Yongdong,Homond,Senior Engineer,2000-05-17,2000-05-17
79834,Guiseppe,Wuwongse,Senior Staff,1995-11-12,1995-11-12
79879,Masako,Schaap,Senior Staff,1998-10-29,1998-10-29
79900,Mong,Luck,Senior Staff,1994-06-08,1994-06-08
79973,Zine,Socorro,Senior Staff,1999-01-05,1999-01-05
79979,Yunming,Papsdorf,Senior Engineer,1991-12-29,1991-12-29
80032,Yurij,Isaac,Senior Staff,1991-08-29,1991-08-29
80038,Vitaly,Gewali,Technique Leader,1986-01-24,9999-01-01
80070,Mana,Thisen,Senior Staff,1996-11-27,1996-11-27
80072,Erzsebet,Kampfer,Staff,1997-05-15,9999-01-01
80131,Gill,Schurmann,Staff,1998-10-04,9999-01-01
80132,Nidapan,Hedayat,Senior Engineer,1996-11-26,1996-11-26
80156,Terresa,Pleszkun,Senior Engineer,1995-10-14,1995-10-14
80166,Monique,Murrill,Senior Engineer,1994-02-12,1994-02-12
80198,Yefim,Anger,Senior Staff,1985-04-02,9999-01-01
80208,Elvia,Samarati,Technique Leader,1988-04-28,9999-01-01
80223,Sadegh,Einsfeld,Senior Engineer,1991-02-11,1991-02-11
80224,Reinhard,Zaiane,Senior Staff,1988-05-19,9999-01-01
80251,Yoshinari,Kitai,Senior Engineer,1993-06-12,1993-06-12
80258,Hirochika,Hiyoshi,Senior Staff,1995-01-11,1995-01-11
80270,Fen,Jonsson,Senior Staff,1998-03-07,1998-03-07
80332,Behnaam,Masand,Senior Staff,2001-08-16,2001-08-16
80375,Atreye,Peac,Senior Engineer,1991-05-06,1991-05-06
80389,Pasqua,Rosiles,Engineer,1998-06-12,9999-01-01
80429,Prodip,Suermann,Senior Staff,1986-03-02,9999-01-01
80456,Aemilian,Gire,Senior Engineer,1998-04-17,1993-04-17
80479,Sanjay,Kragelund,Senior Staff,2002-01-24,2002-01-24
80520,Lijie,Crelier,Senior Engineer,1986-05-20,9999-01-01
80561,Visit,Solovay,Senior Engineer,1993-06-30,1993-06-30
80620,Filipe,Gischer,Senior Staff,1998-12-02,1998-12-02
80637,Eishiro,Larfeldt,Senior Staff,1985-08-01,9999-01-01
80639,Uma,Mahnke,Senior Engineer,1993-07-20,1993-07-20
80665,Angel,Angot,Senior Staff,1993-06-06,1993-06-06
80684,Takanari,VanScheik,Senior Staff,1994-01-21,1994-01-21
80705,Josyula,Shackel,Technique Leader,1986-10-07,9999-01-01
80751,Zhensheng,Swan,Senior Engineer,1991-09-12,9999-01-01
80781,Xudong,Danner,Senior Engineer,1998-07-25,9999-01-01
80810,Khalid,Merkl,Senior Staff,1999-07-06,1999-07-06
80896,Paloma,Hardjono,Senior Staff,1985-05-16,9999-01-01
80903,Yakichi,Dulin,Senior Engineer,1997-04-18,1997-04-18
80937,Chikako,Jiang,Senior Staff,1985-08-09,9999-01-01
80998,Leandro,Lampe,Senior Engineer,2001-05-01,1994-05-01
81035,Hsiangchu,Boreale,Senior Staff,1993-10-03,1993-10-03
81068,Uno,Ecklund,Senior Engineer,1998-10-22,1992-10-22
81070,Mariangiola,Rosaz,Senior Engineer,1987-11-30,9999-01-01
81152,Macha,Junet,Senior Engineer,1994-05-30,1994-05-30
81167,Yurij,Francisci,Senior Staff,1991-04-10,1991-04-10
81201,Werner,Knightly,Senior Staff,1993-07-11,1993-07-11
81208,Sumant,Rindone,Senior Engineer,1987-11-24,9999-01-01
81264,Dannz,Erdmenger,Senior Staff,1993-09-19,1993-09-19
81286,Richara,Fontet,Senior Staff,1997-03-10,1997-03-10
81338,Xiaoqiang,Erol,Senior Staff,2001-07-28,2001-07-28
81398,Hyuncheol,Gulak,Technique Leader,1987-12-23,9999-01-01
81407,Hsiangchu,Rosin,Senior Staff,1994-03-15,1994-03-15
81412,Zhenhua,Menyhert,Senior Staff,1994-02-13,1994-02-13
81438,Mack,McClure,Senior Engineer,1994-06-17,1994-06-17
81440,Fumitake,Melski,Senior Engineer,1993-03-09,1993-03-09
81466,Zejun,Krone,Senior Engineer,2001-11-07,2001-11-07
81468,Aiman,Bodoff,Senior Engineer,1995-05-16,1995-05-16
81510,Mamdouh,Penttonen,Senior Staff,1994-04-08,1994-04-08
81517,Xiong,Reutenauer,Senior Staff,1995-01-27,1995-01-27
81527,Arnd,Bouloucos,Senior Staff,1991-07-09,1991-07-09
81537,Beshir,Pezzoli,Senior Staff,1995-07-07,1995-07-07
